StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Rank,Gender,MainRole,MainChamp,Veterancy,PlayerStats,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,OpenChanges,BalancePriority _1,BalancePriority _2,BalancePriority _3,BalancePriority _4,BalancePriority _5,BalancePriority _6,BalancePriority _7,OtherChanges
2023-12-07 13:48:20,2023-12-07 13:50:45,100,144,TRUE,2023-12-07 13:50:45,R_3subBtC5g7c4Wxd,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,Shen,3 ,Not Provided,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,I would force every player to uninstall the game forever ,2,1,4,3,5,6,7,No Response
2023-12-07 13:47:48,2023-12-07 13:51:22,100,213,TRUE,2023-12-07 13:51:23,R_1q51xpgFhkylz0o,anonymous,EN,Platinum - Diamond,Prefer not to say,Top,Taric,Season 2,Not Provided,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Nerf tank shredding tools, armor pen and %hp damage in abilities",1,2,4,6,7,5,3,Nerf/Fix bounties to be more consistent and include gold from plates.
2023-12-07 13:48:32,2023-12-07 13:51:53,100,201,TRUE,2023-12-07 13:51:54,R_3kokwpJdjKzn4FZ,anonymous,EN,Platinum - Diamond,Male,Top,Sion,Since season 6,Nuki____,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat agree,"Reduce the amount of dashes, cc and overall overloaded kit they release each month with a new champion",3,2,1,7,4,5,6,Increasing healing reduction just like it was in the past
2023-12-07 13:47:19,2023-12-07 13:51:56,100,276,TRUE,2023-12-07 13:51:57,R_2DN9Qkb3Wn7LuiC,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,asassains,4 ,Lolxt06,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,2,4,1,5,3,6,7,Nerf riven and hwei and not make new champs broken / not that broken
2023-12-07 13:46:53,2023-12-07 13:52:05,100,312,TRUE,2023-12-07 13:52:05,R_RJfCcty4hT40eI1,anonymous,EN,Platinum - Diamond,Male,Bot,"Draven, Ezrael, Ashe, Twitch",8 ,Not Provided,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,I would like fights and lane phases to last longer (meaning a longer laning phase where laners face each other). More neutral objectives like in Hots. A champion rotation like in  MTGArena (imo there's too many champions in the game to balance effectively. I'd rather have a certain set of champions (~50 maybe?) available at a time).,2,6,5,3,1,7,4,No Response
2023-12-07 13:48:49,2023-12-07 13:52:08,100,199,TRUE,2023-12-07 13:52:09,R_3OQ6BTj2W7HfWQF,anonymous,EN,Platinum - Diamond,Male,Bot,Twitch,6 months,Not Provided,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"I would give everyone 2 bans instead of one, there is too many bullshit champions introduced in the recent years.",1,2,3,4,6,5,7,Lower twitch aa windup time :)
2023-12-07 13:48:46,2023-12-07 13:53:15,100,269,TRUE,2023-12-07 13:53:16,R_3OoJcppJsXnydPS,anonymous,EN,Platinum - Diamond,Male,Jungle,"Rengar, Evelynn",10 ,Not Provided,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,"Bring back the potential to carry, reduce bounties, FIXING THE CLIENT",1,2,6,4,5,3,7,"Items, balancing the items better"
2023-12-07 13:49:29,2023-12-07 13:53:44,100,254,TRUE,2023-12-07 13:53:44,R_2349OXAOiKVefo5,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,"Pyke, kled, urgot, poppy, ,ivern, jhin, senna, ",since season 5,https://www.op.gg/summoners/euw/Blomster%20Koro-EUW,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,"I have no clue, not a game designer nor do i know how to balance a game",7,2,1,3,4,5,6,No Response
2023-12-07 13:48:46,2023-12-07 13:55:37,100,410,TRUE,2023-12-07 13:55:38,R_2cA5la4Eu9hceZB,anonymous,EN,Iron - Gold,Male,Bot,"Lucian, Zeri, Vayne, Sivir, Ziggs, Ryze, Orianna, Mordekaiser",14  (since release),https://www.op.gg/summoners/euw/Aeshen-EUW,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,I would change Zilean passive,4,1,2,5,3,7,6,No Response
2023-12-07 13:47:10,2023-12-07 13:56:12,100,542,TRUE,2023-12-07 13:56:13,R_3e9OvOCj2UKCRb5,anonymous,EN,Iron - Gold,Male,Top,"Warwick, Nasus, Mundo, Yorick",6,https://www.op.gg/summoners/euw/FarekGamer-2005/auth/ca32a8febe29bc2f10f1071ab788bbbe,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,2,1,3,4,5,6,7,No Response
