StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage, , ,Q3,Q4,Veterancy,Player Stats ,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Open Changes ,Balance Priority _1,Balance Priority _2,Balance Priority _3,Balance Priority _4,Balance Priority _5,Balance Priority _6,Balance Priority _7,Q11
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Rank,Gender,Main Role,Main Champs,(Optional) How Long Have You Been Playing The Game?,Player Stats,Please Evaluate the Following Statements: - I Have fun when I play this game,Please Evaluate the Following Statements: - I feel that my actions as a player directly impact the outcome of the game,Please Evaluate the Following Statements: - I pick the Champions I play because they are strong,Please Evaluate the Following Statements: - I pick the champions I play based on their strength,Please Evaluate the Following Statements: - I am satisfied with the decisions made by the Riot Balance Team,Please Evaluate the Following Statements: - I think the balance team does a good job communicating the reasons behind their decisions,Please Evaluate the Following Statements: - I get frustrated when I play the game in its current state,Please Evaluate the Following Statements: - I believe my teammates actions and decisions have more impact than my own,Please Evaluate the Following Statements: - I think every champion have viability in their main role,Please Evaluate the Following Statements: - I believe the game in the past was more fun,Please Evaluate the Following Statements: - The game changes often enough to stay interesting,"If you could make any direct change to the game right now what would it be? (Responses can be broad ""I'd change the entire jungle role"" or specific ""I would change Akali's e cooldown"")","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Increasing or Reducing a Given Champions Damage (%AD/AP, Base Numbers, CD on key spells etc.)",Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - A Given Champions Durability/Survivability Tools (Resistance/HP CD on spells),"Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - A Given Champions Utility/ability to help their team (Accessibility of CC, Slows, Peel, CD on Spells)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Team centric Neutral Objectives (Rift Herald, Baron, Dragons and Dragon Soul)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Map changes and adjustments (Terrain, Map Size, Gank Paths and accessibility)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Neutral monster changes (Jungle camp timers, clear time, durability damage)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Minion and Tower Changes (Damage, Speed, Timings, Plating, Gold Value)","If you had a different change in mind, please list it."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID11_TEXT""}"
2023-12-07 13:48:20,2023-12-07 13:50:45,100,144,TRUE,2023-12-07 13:50:45,R_3subBtC5g7c4Wxd,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,Shen,3 years,,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,I would force every player to uninstall the game forever ,2,1,4,3,5,6,7,
2023-12-07 13:47:48,2023-12-07 13:51:22,100,213,TRUE,2023-12-07 13:51:23,R_1q51xpgFhkylz0o,anonymous,EN,Platinum - Diamond,,Top,Taric,Season 2,,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Nerf tank shredding tools, armor pen and %hp damage in abilities",1,2,4,6,7,5,3,Nerf/Fix bounties to be more consistent and include gold from plates.
2023-12-07 13:48:32,2023-12-07 13:51:53,100,201,TRUE,2023-12-07 13:51:54,R_3kokwpJdjKzn4FZ,anonymous,EN,Platinum - Diamond,Male,Top,Sion,Since season 6,Nuki____,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat agree,"Reduce the amount of dashes, cc and overall overloaded kit they release each month with a new champion",3,2,1,7,4,5,6,Increasing healing reduction just like it was in the past
2023-12-07 13:47:19,2023-12-07 13:51:56,100,276,TRUE,2023-12-07 13:51:57,R_2DN9Qkb3Wn7LuiC,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,asassains,4 Years,Lolxt06,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,2,4,1,5,3,6,7,Nerf riven and hwei and not make new champs broken / not that broken
2023-12-07 13:46:53,2023-12-07 13:52:05,100,312,TRUE,2023-12-07 13:52:05,R_RJfCcty4hT40eI1,anonymous,EN,Platinum - Diamond,Male,Bot,"Draven, Ezrael, Ashe, Twitch",8 years,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,I would like fights and lane phases to last longer (meaning a longer laning phase where laners face each other). More neutral objectives like in Hots. A champion rotation like in  MTGArena (imo there's too many champions in the game to balance effectively. I'd rather have a certain set of champions (~50 maybe?) available at a time).,2,6,5,3,1,7,4,
2023-12-07 13:48:49,2023-12-07 13:52:08,100,199,TRUE,2023-12-07 13:52:09,R_3OQ6BTj2W7HfWQF,anonymous,EN,Platinum - Diamond,Male,Bot,Twitch,6 months,,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"I would give everyone 2 bans instead of one, there is too many bullshit champions introduced in the recent years.",1,2,3,4,6,5,7,Lower twitch aa windup time :)
2023-12-07 13:48:46,2023-12-07 13:53:15,100,269,TRUE,2023-12-07 13:53:16,R_3OoJcppJsXnydPS,anonymous,EN,Platinum - Diamond,Male,Jungle,"Rengar, Evelynn",10 years,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,"Bring back the potential to carry, reduce bounties, FIXING THE CLIENT",1,2,6,4,5,3,7,"Items, balancing the items better"
2023-12-07 13:49:29,2023-12-07 13:53:44,100,254,TRUE,2023-12-07 13:53:44,R_2349OXAOiKVefo5,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,"Pyke, kled, urgot, poppy, ,ivern, jhin, senna, ",since season 5,https://www.op.gg/summoners/euw/Blomster%20Koro-EUW,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,"I have no clue, not a game designer nor do i know how to balance a game",7,2,1,3,4,5,6,
