Response_ID,OpenChanges,Polarity,Subjectivity
86,delete yuumi,0.0,0.0
30,Ban smurfs/ smurf accounts,0.0,0.0
139,Remove Heartsteel,0.0,0.0
99,Remove 5g on ward ping,0.0,0.0
125,Remove Hullbreaker,0.0,0.0
55,"Ban smurfs, increase afk penalty. ",0.0,0.0
70,Matchmaking needs to improve and toxic behaviour penalties strengthen,0.0,0.0
127,Deleting yuumi and Ksante,0.0,0.0
29,Reduce mobility creep. (Not every champion needs a dash),0.0,0.0
91,Lower the damage,0.0,0.0
92,Rebalance rune tree,0.0,0.0
105,I would delete the ADC and Jungle roles.,0.0,0.0
64,remove Yuumi,0.0,0.0
38,"Remove Umbral Glaive, Cookies, Stopwatch. Rework Illaoi E, Yone E",0.0,0.0
35,nerf orianna syndra azir,0.0,0.0
39,Increase cooldown of all abilities.,0.0,0.0
103,"Ratio reduction all all abilities (HASTE, AP, AD)",0.0,0.0
2,"Nerf tank shredding tools, armor pen and %hp damage in abilities",0.0,0.0
135,voice chat,0.0,0.0
34,Remove jungle pets.,0.0,0.0
122,I would overhaul the tutorial,0.0,0.0
59,The community,0.0,0.0
63,I would delete yuumi,0.0,0.0
120,SmurfQ and ToxicQ,0.0,0.0
66,I would remove the wind shitters.,0.0,0.0
117,Delete Yummi,0.0,0.0
112,Nerf Garen,0.0,0.0
138,I would give harsher punishment to inters and afks to improve the state of ranked,0.0,0.0
83,Undo the xp nerf to bot lane from season 8 I believe,0.0,0.0
82,Fix smurfing in ranked,0.0,0.0
22,delete yone,0.0,0.0
104,Make jungle weaker,0.0,0.0
118,nerf tank items,0.0,0.0
8,I would change Zilean passive,0.0,0.0
107,I’d change the height difference from the river to the rest of the map,0.0,0.0
24,change items,0.0,0.0
27,"Remove Herald, Nerf Dragons, Nerf Baron Minion Buff, Revert Runes Reforged, Revert ADC prior to 8.11",0.0,0.0
81,nerf ornn,0.0,0.0
36, ,0.0,0.0
10,"Fix Client, Propper Custom Games",0.0,0.0
131,Bring back ARAM bans,0.0,0.0
53,"remove all ap supports,AD supports AND adc supports they can get cancer and queue up in mid if they wana ap and adc if they wana adc",0.0,0.0
52,Remove laners’ ability to farm camps,0.0,0.0
111,Bring back seasonal maps,0.0,0.0
110,Reduce burst and mobility,0.0,0.0
58,Remove Invisibility,0.0,0.0
67,"Less dashes overall, delete Sylas, Viego, Pyke, Akshan, Zeri ",-0.08333333333333333,0.03333333333333333
102,Officially supported map skins to make SR less boring/repetitive,-0.16666666666666666,0.06666666666666667
12,Make ADCs less dependant on LITERALLY EVERYONE,-0.16666666666666666,0.06666666666666667
123,"Make snowballing less impactful, so longer games!",-0.20833333333333331,0.06666666666666667
28,make less 1v9 champs for example twitch gets ahead from roaming and can 1v5 our team even though we’re ahead,-0.16666666666666666,0.06666666666666667
